"No."	"Monoisotopic_Mass"	"Sum_Intensity"	"Number_of_Charge_States"	"Average_Charge"	"Delta_Mass"	"Relative_Abundance"	"Fractional_Abundance"	"RT_Range"	"sample"	"earp"	"efp"	"target_mass"
6	7267.6299	"37357.980000000003"	"5"	"8.3127656868524102"	"1052.9489000000003"	31.488105854306	6.08108530452975	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
7	7279.634	"16027.01"	"4"	"7.9405672009113335"	"1064.9530000000004"	13.5087653938468	2.60885666159014	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
8	7291.6523	"13011.91"	"3"	"7.5461614790590286"	"1076.9713000000002"	10.9674131054919	2.11806245104429	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
9	7831.0905	"9301.6399999999994"	"3"	"8.783833766089554"	"1616.4095000000007"	7.84011943201017	1.51410933653335	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
10	7861.0815	"8230.9500000000007"	"3"	"9.6649069955265734"	"1646.4005000000006"	6.93766164234523	1.33982375619129	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
11	8517.8916	"4209.6899999999996"	"3"	"10.54221830872604"	"2303.2106000000013"	3.54824228541836	0.685248078071294	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
12	9113.697	"18364.220000000001"	"4"	"8.0727575802192248"	"2899.0160000000005"	15.4787411763635	2.98930478497904	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
13	10008.1167	"6796.4899999999998"	"3"	"11.665687080808741"	"3793.4357000000009"	5.72859122890832	1.10632414979031	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
14	10164.4189	"6901.9099999999999"	"3"	"11.940693208232371"	"3949.737900000001"	5.81744710706771	1.12348428566499	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
15	10675.1993	"4539.8599999999997"	"3"	"13.760468047027958"	"4460.5183000000006"	3.8265343105738	0.738992738114384	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
